Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/uppercase-Backpack-1600EBP1-repellent-sustainable/dp/B0B5N9TY9C/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-292,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",null,4.2 out of 5 stars,152 ratings
https://www.amazon.in/Arctic-Fox-Shutter-Topography-Camera/dp/B0835GMWBC/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-291,Arctic Fox Sling Shutter Topography Camera Bag,"₹ 1,199",4.5 out of 5 stars,283 ratings
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-292,Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,₹ 922,4.2 out of 5 stars,"53,009 ratings"
https://www.amazon.in/AirCase-Messenger-13-Inch-14-Inch-MacBook/dp/B07WS6HTHY/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-291,"AirCase C26 13.3 Inch/14 Inch Messenger Laptop Bag with Shoulder Strap, Water resistant, Handle and 2 Multi Utility Compartments (Black)",₹ 949,4.1 out of 5 stars,"2,560 ratings"
https://www.amazon.in/Lunars-Heritage-Casual-Bagpack-College/dp/B08CBJDBH4/ref=sr_1_290?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-290,Lunar's Heritage 37L Casual Water Resistant 3 Compartment Travel Bagpack/College Backpack/School Bag (Black),₹ 799,3.9 out of 5 stars,767 ratings
https://www.amazon.in/Backpack-15-6inch-Resistant-Anti-Theft-Charging/dp/B07TW713SC/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-289,"Arctic Hunter Backpack, 15.6 Inch Laptop Bag for Men Business Backpack for Office Travel College 28L Water Resistant Anti-Theft Laptop Backpack with USB Charging Port for Men and Women, Black","₹ 2,374",4.1 out of 5 stars,271 ratings
https://www.amazon.in/RBB-HUB-Black-Leather-Sling/dp/B082G8KPD2/ref=sr_1_288?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-288,"RBB HUB Black Leather Gym Bag Gym Bag (Black, Sling Bag)",₹ 229,5.0 out of 5 stars,1 rating
https://www.amazon.in/ASTRID-Blue-Textured-Cotton-Pouch/dp/B08W431L94/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-287,ASTRID Blue Textured Cotton Tote Bag With Coin Pouch,₹ 749,4.4 out of 5 stars,218 ratings
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088X9M73T/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-286,"Mi Step Out 12 L Mini Backpack (Small Size, Sky Blue, Water Repellant)",₹ 299,4.1 out of 5 stars,"7,615 ratings"
https://www.amazon.in/GUSTAVE%C2%AE-Crossbody-Adjustable-Commuting-Activities/dp/B09YCSBNWZ/ref=sr_1_285?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-285,"GUSTAVE® Chest Bag for Men Crossbody Bag, Women Shoulder Bag Nylon Bag with Cable Vent,Adjustable Strap, for Commuting, Travel, Outdoor Activities,Cycling (Black)",₹ 899,3.7 out of 5 stars,14 ratings
https://www.amazon.in/Prarabdh-Pocket-Shoulder-Strap-Water/dp/B09FZ2N1VQ/ref=sr_1_282?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-282,Prarabdh Yoga Mat Bag from Women & Men and Shoulder Strap Water Proof Yoga Mat Cover (Blue Color),₹ 195,3.6 out of 5 stars,32 ratings
https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_281?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-281,motherly 25 ltrs (25 Cms) backpack(5860_grey),"₹ 1,716",4.6 out of 5 stars,"5,399 ratings"
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B0B7FGTWST/ref=sr_1_280?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-280,Blue Tree Cute Kids Backpack Toddler Bag Plush Animal Cartoon Mini Travel Bag for Baby Girl Boy 1-6 Years,₹ 298,3.8 out of 5 stars,35 ratings
https://www.amazon.in/House-Quirk-Electronics-Accessories-Organizer/dp/B07MMGBD1J/ref=sr_1_279?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-279,"House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue",₹ 499,4.3 out of 5 stars,"6,460 ratings"
https://www.amazon.in/Kleider-Nylon-Travel-Mobile-Messenger/dp/B08V5B5G14/ref=sr_1_278?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-278,DEIN KLEIDER Nylon Cross Body Travel Mobile Pouch Sling Messenger Bag for Women,₹ 259,4.2 out of 5 stars,"1,328 ratings"
https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK/ref=sr_1_277?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-277,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),₹ 549,4.2 out of 5 stars,"1,497 ratings"
https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-276,Mi Business Casual 21L Water Resistant Laptop Backpack (Blue),₹ 999,4.4 out of 5 stars,"6,047 ratings"
https://www.amazon.in/Eco-Friendly-Bag-Reusable-Shopping-Grocery-Multipurpose/dp/B09V5PVDTC/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-275,ASIAN Eco-Friendly Jute Hand Bag-Reusable Tiffin Shopping Grocery Multipurpose Hand Bag with Zip & Handle for Men and Women,₹ 197,4.1 out of 5 stars,220 ratings
https://www.amazon.in/Nivia-6852BK-Polyester-String-Black/dp/B07NNDWGYC/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-276,Nivia 6852BK Polyester String Bag (Black),₹ 303,4.1 out of 5 stars,101 ratings
https://www.amazon.in/DZert-Rumble-School-Backpacks-Cartoon/dp/B0994PHBSL/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-275,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹ 239,3.7 out of 5 stars,"10,947 ratings"
https://www.amazon.in/School-Cartoon-Backpack-Konggi-Rabbit/dp/B09241N9KD/ref=sr_1_274?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-274,"Baby Bag, School Bag for Kids Girl, Soft Bag, Cartoon Backpack(Konggi Rabbit)",₹ 201,2.8 out of 5 stars,5 ratings
